An,Export,UE_Export_pct,CSI_Export_pct,Altele_Export_pct,Import,UE_Import_pct,CSI_Import_pct,Altele_Import_pct
2000,471466,35.05,58.56,6.39,776416,53.22,33.46,13.32
2001,565495,32.26,60.90,6.84,892228,48.36,38.13,13.52
2002,643792,35.94,54.43,9.63,1038000,45.07,39.39,15.54
2003,789934,38.92,53.62,7.46,1402347,45.17,42.31,12.52
2004,985174,40.67,51.00,8.33,1768534,43.81,43.24,12.94
2005,1090919,40.62,50.53,8.85,2292292,45.32,39.49,15.19
2006,1050362,51.12,40.33,8.55,2693184,45.24,37.90,16.85
2007,1340050,50.66,40.96,8.38,3689524,45.56,36.15,18.29
2008,1591113,51.54,39.15,9.30,4898762,42.98,35.46,21.56
2009,1282981,52.01,38.22,9.76,3278270,43.35,34.83,21.82
2010,1541487,47.29,40.48,12.23,3855289,44.21,32.60,23.19
2011,2216815,48.85,41.47,9.68,5191271,43.46,33.01,23.53
2012,2161880,46.88,42.93,10.19,5212928,44.48,31.15,24.37
2013,2428303,46.83,38.02,15.15,5492393,45.01,30.45,24.54
2014,2339530,53.26,31.44,15.30,5316959,48.29,27.26,24.45
2015,1966837,61.91,25.03,13.06,3986820,49.02,25.54,25.45
2016,2044539,65.14,20.26,14.60,4020357,49.09,25.56,25.35
2017,2424972,65.85,19.09,15.06,4831335,49.45,24.96,25.59
2018,2706173,68.80,15.37,15.83,5760057,49.49,25.16,25.35
2019,2779164,65.87,15.65,18.48,5842484,49.46,24.26,26.28
2020,2467106,66.49,15.28,18.23,5415988,45.62,24.33,30.05
2021,3144505,61.04,14.83,24.13,7176761,43.88,26.55,29.57
2022,4332145,58.57,24.08,17.35,9218979,47.35,23.71,28.95
2023,4048605,65.37,22.16,12.47,8675450,48.27,18.56,33.16
2024,3555062,67.29,6.80,25.91,9065185,50.15,3.82,46.03
